# instance_id=29091694036
# script_sha256=d6df6dbe4200fd0465027eb2ddfa144976534b4738d6050bf8b55ed8b67cc53f
frame,elapsed,respawn_remaining,spawn_protection,hp,kills,gold
0,0.0,8.0,0.00,0.0,1,620
1,0.1,7.9,0.00,0.0,1,620
2,0.2,7.8,0.00,0.0,1,620
3,0.3,7.7,0.00,0.0,1,620
4,0.4,7.6,0.00,0.0,1,620
5,0.5,7.5,0.00,0.0,1,620
6,0.6,7.4,0.00,0.0,1,620
7,0.7,7.3,0.00,0.0,1,620
8,0.8,7.2,0.00,0.0,1,620
9,0.9,7.1,0.00,0.0,1,620
10,1.0,7.0,0.00,0.0,1,620
11,1.1,6.9,0.00,0.0,1,620
12,1.2,6.8,0.00,0.0,1,620
13,1.3,6.7,0.00,0.0,1,620
14,1.4,6.6,0.00,0.0,1,620
15,1.5,6.5,0.00,0.0,1,620
16,1.6,6.4,0.00,0.0,1,620
17,1.7,6.3,0.00,0.0,1,620
18,1.8,6.2,0.00,0.0,1,620
19,1.9,6.1,0.00,0.0,1,620
20,2.0,6.0,0.00,0.0,1,620
21,2.1,5.9,0.00,0.0,1,620
22,2.2,5.8,0.00,0.0,1,620
23,2.3,5.7,0.00,0.0,1,620
24,2.4,5.6,0.00,0.0,1,620
25,2.5,5.5,0.00,0.0,1,620
26,2.6,5.4,0.00,0.0,1,620
27,2.7,5.3,0.00,0.0,1,620
28,2.8,5.2,0.00,0.0,1,620
29,2.9,5.1,0.00,0.0,1,620
30,3.0,5.0,0.00,0.0,1,620
31,3.1,4.9,0.00,0.0,1,620
32,3.2,4.8,0.00,0.0,1,620
33,3.3,4.7,0.00,0.0,1,620
34,3.4,4.6,0.00,0.0,1,620
35,3.5,4.5,0.00,0.0,1,620
36,3.6,4.4,0.00,0.0,1,620
37,3.7,4.3,0.00,0.0,1,620
38,3.8,4.2,0.00,0.0,1,620
39,3.9,4.1,0.00,0.0,1,620
40,4.0,4.0,0.00,0.0,1,620
41,4.1,3.9,0.00,0.0,1,620
42,4.2,3.8,0.00,0.0,1,620
43,4.3,3.7,0.00,0.0,1,620
44,4.4,3.6,0.00,0.0,1,620
45,4.5,3.5,0.00,0.0,1,620
46,4.6,3.4,0.00,0.0,1,620
47,4.7,3.3,0.00,0.0,1,620
48,4.8,3.2,0.00,0.0,1,620
49,4.9,3.1,0.00,0.0,1,620
50,5.0,3.0,0.00,0.0,1,620
51,5.1,2.9,0.00,0.0,1,620
52,5.2,2.8,0.00,0.0,1,620
53,5.3,2.7,0.00,0.0,1,620
54,5.4,2.6,0.00,0.0,1,620
55,5.5,2.5,0.00,0.0,1,620
56,5.6,2.4,0.00,0.0,1,620
57,5.7,2.3,0.00,0.0,1,620
58,5.8,2.2,0.00,0.0,1,620
59,5.9,2.1,0.00,0.0,1,620
60,6.0,2.0,0.00,0.0,1,620
61,6.1,1.9,0.00,0.0,1,620
62,6.2,1.8,0.00,0.0,1,620
63,6.3,1.7,0.00,0.0,1,620
64,6.4,1.6,0.00,0.0,1,620
65,6.5,1.5,0.00,0.0,1,620
66,6.6,1.4,0.00,0.0,1,620
67,6.7,1.3,0.00,0.0,1,620
68,6.8,1.2,0.00,0.0,1,620
69,6.9,1.1,0.00,0.0,1,620
70,7.0,1.0,0.00,0.0,1,620
71,7.1,0.9,0.00,0.0,1,620
72,7.2,0.8,0.00,0.0,1,620
73,7.3,0.7,0.00,0.0,1,620
74,7.4,0.6,0.00,0.0,1,620
75,7.5,0.5,0.00,0.0,1,620
76,7.6,0.4,0.00,0.0,1,620
77,7.7,0.3,0.00,0.0,1,620
78,7.8,0.2,0.00,0.0,1,620
79,7.9,0.1,0.00,0.0,1,620
80,8.0,0.0,0.75,100.0,1,620
81,8.1,0.0,0.65,100.0,1,620
82,8.2,0.0,0.55,100.0,1,620
83,8.3,0.0,0.45,100.0,1,620
84,8.4,0.0,0.35,100.0,1,620
85,8.5,0.0,0.25,100.0,1,620
86,8.6,0.0,0.15,100.0,1,620
87,8.7,0.0,0.05,100.0,1,620
88,8.8,0.0,0.00,99.7,1,620
89,8.9,0.0,0.00,99.4,1,620
90,9.0,0.0,0.00,99.1,1,620
